Tanggal,Target,Vaksinasi_1,Vaksinasi_2
2021-03-05,3000689,281997,91078
2021-03-06,3000689,289951,91379
2021-03-07,3000689,334506,93974
2021-03-08,3000689,361710,96978
2021-03-09,3000689,423139,119854
2021-03-10,3000689,473494,109554
2021-03-11,3000689,483492,109699
2021-03-12,3000689,519575,113038
2021-03-13,3000689,537965,114464
2021-03-14,3000689,550088,114621
2021-03-15,3000689,599696,124070
2021-03-16,3000689,647957,139204
2021-03-17,3000689,692365,159736
2021-03-18,3000689,734359,184432
2021-03-19,3000689,810602,199342
2021-03-20,3000689,824569,203266
2021-03-21,3000689,846439,204295
2021-03-22,3000689,879229,228255
2021-03-23,3000689,925387,258405
2021-03-24,3000689,997730,294083
2021-03-25,3000689,1046483,311135
2021-03-26,3000689,1092686,343272
2021-03-27,3000689,1121735,351121
2021-03-28,3000689,1140388,353105
2021-03-29,3000689,1178243,388065
2021-03-30,3000689,1220617,425325
2021-03-31,3000689,1267378,458982
2021-04-01,3000689,1301379,485734
2021-04-02,3000689,1325622,490215
2021-04-03,3000689,1339471,494227
2021-04-04,3000689,1352341,498076
2021-04-05,3000689,1387188,546103
2021-04-06,3000689,1415143,580965
2021-04-07,3000689,1436663,619311
2021-04-08,3000689,1475689,644297
2021-04-09,3000689,1506706,677132
2021-04-10,3000689,1528219,687612
2021-04-11,3000689,1537387,697480
2021-04-12,3000689,1569019,728994
2021-04-13,3000689,1584064,749172
2021-04-14,3000689,1598341,783181
2021-04-15,3000689,1615457,813687
2021-04-16,3000689,1633447,840544
2021-04-17,3000689,1641932,849048
2021-04-18,3000689,1646295,857137
2021-04-19,3000689,1668563,894069
2021-04-20,3000689,1687399,911103
2021-04-21,3000689,1708066,943905
2021-04-22,3000689,1746457,995717
2021-04-23,3000689,1770866,1028239
2021-04-24,3000689,1784510,1046274
2021-04-25,3000689,1796387,1059589
2021-04-26,3000689,1822711,1104607
2021-04-27,3000689,1850474,1242486
2021-04-28,3000689,1878269,1182862
2021-04-29,3000689,1906096,1214492
2021-04-30,3000689,1935049,1231269
2021-05-01,3000689,1943646,1245192
2021-05-02,3000689,1947986,1256966
2021-05-03,3000689,1968563,1287033
2021-05-04,3000689,1994275,1313679
2021-05-05,3000689,2027200,1339261
2021-05-06,3000689,2064779,1366690
2021-05-07,3000689,2099049,1395186
2021-05-08,3000689,2117046,1405753
2021-05-09,3000689,2126998,1415570
2021-05-10,3000689,2158740,1445880
2021-05-11,3000689,2183820,1461820
2021-05-12,3000689,2188152,1469582
2021-05-13,3000689,2188367,1469783
2021-05-14,3000689,2188619,1470037
2021-05-15,3000689,2191387,1477896
2021-05-16,3000689,2195927,1483715
2021-05-17,3000689,2205537,1510084
2021-05-18,3000689,2223752,1540685
2021-05-19,3000689,2247986,1566783
2021-05-20,3000689,2275325,1599233
2021-05-21,3000689,2302898,1627315
2021-05-22,3000689,2316046,1644686
2021-05-23,3000689,2324594,1656848
2021-05-24,3000689,2329514,1663767
2021-05-25,3000689,2373232,1704615
2021-05-26,3000689,2398089,1732164
2021-05-27,3000689,2429534,1770292
2021-05-28,3000689,2432537,1773251
2021-05-29,3000689,2432537,1773251
2021-05-30,3000689,2432561,1775331
2021-05-31,3000689,2519794,1797154
2021-06-01,3000689,2519921,1804342
2021-06-02,3000689,2520101,1829911
2021-06-03,3000689,2534146,1834501
2021-06-04,3000689,2575984,1841626
2021-06-05,3000689,2583609,1841757
2021-06-06,3000689,2585466,1841775
2021-06-07,3000689,2607761,1845698
2021-06-08,3000689,2680631,1845698
2021-06-09,3000689,2728441,1845698
2021-06-10,3000689,2790253,1858410
2021-06-11,3000689,2872171,1861571
2021-06-12,3000689,2880882,1861918
2021-06-13,3000689,2880926,1861955
2021-06-14,3000689,2965825,1867142
2021-06-15,3000689,3041573,1871327
2021-06-16,3000689,3131651,1875171
2021-06-17,3000689,3131651,1875171
2021-06-18,8815157,3239251,1880997
2021-06-19,8815157,3344254,1886323
2021-06-20,8815157,3384704,1886757
2021-06-21,8815157,3399845,1887255
2021-06-22,8815157,3513012,1891658
2021-06-23,8815157,3593159,1894808
2021-06-24,8815157,3753451,1898567
2021-06-25,8815157,3884096,1902333
2021-06-26,8815157,4018256,1907281
2021-06-27,8815157,4077736,1911230
2021-06-28,8815157,4105009,1912914
2021-06-29,8815157,4232962,1917662
2021-06-30,8815157,4365649,1920245
2021-07-01,8815157,4498251,1924850
2021-07-02,8815157,4604297,1929114
2021-07-03,8815157,4682012,1931805
2021-07-04,8815157,4800657,1935269
2021-07-05,8815157,4827994,1935857
2021-07-06,8815157,4909676,1938103
2021-07-07,8815157,5072833,1943092
2021-07-08,8815157,5161695,1945121
2021-07-09,8815157,5388600,1950495
2021-07-10,8815157,5423545,1951043
2021-07-11,8815157,5441693,1951485
2021-07-12,8815157,5466004,1951695
2021-07-13,8815157,5544335,1952866
2021-07-14,8815157,5925485,1965880
2021-07-15,8815157,6069993,1970308
2021-07-16,8815157,6237742,1976896
2021-07-17,8815157,6399345,1987840
2021-07-18,8815157,6484908,1996217
2021-07-19,8815157,6538446,2002013
2021-07-20,8815157,6646485,2021486
2021-07-21,8815157,6652011,2021780
2021-07-22,8815157,6753288,2067633
2021-07-23,8815157,6870297,2124049
2021-07-24,8815157,6982429,2191407
2021-07-25,8815157,7050648,2221866
2021-07-26,8815157,7098002,2238876
2021-07-27,8815157,7209473,2321531
2021-07-28,8815157,7326205,2410672
2021-07-29,8815157,7282669,2426508
2021-07-30,8815157,7400420,2543030
2021-07-31,8815157,7507340,2667299
2021-08-01,8815157,7597843,2716121
2021-08-02,8815157,7667494,2744716
2021-08-03,8815157,7800342,2865036
2021-08-04,8815157,7918732,2984244
2021-08-05,8815157,8032264,3083135
2021-08-06,8815157,8102064,3110381
2021-08-07,8815157,8185795,3184396
2021-08-08,8941211,8371190,3415964
2021-08-09,8941211,8507635,3532646
2021-08-10,8941211,8630089,3671205
2021-08-11,8941211,8722646,3784353
2021-08-12,8941211,8771557,3820779
2021-08-13,8941211,8861264,4007949
2021-08-14,8941211,8951693,4181318
2021-08-15,8941211,9017051,4260251
2021-08-16,8941211,9069350,4310395
2021-08-17,8941211,9151228,4434796
2021-08-18,8941211,9190936,4449098
2021-08-19,8941211,9240308,4561615
2021-08-20,8941211,9285055,4679444
2021-08-21,8941211,9319191,4762907
2021-08-22,8941211,9351093,4845271
2021-08-23,8941211,9363908,4879571
2021-08-24,8941211,9409218,4978587
2021-08-25,8941211,9457611,5088010
2021-08-26,8941211,9505680,5197381
2021-08-27,8941211,9554298,5317949
2021-08-28,8941211,9622701,5490891
2021-08-29,8941211,9629886,5507262
2021-08-30,8941211,9629886,5507262
